curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),209.0,10.449258760107817,6.642629050450555,14.255888469765079,3
original r6 (n=3),210.0,10.469833782569632,6.654154088193312,14.285513476945951,3
original r6 (n=3),211.0,10.490408805031446,6.6656764339333066,14.315141176129586,3
original r6 (n=3),212.0,10.505031446540881,6.649759751136543,14.36030314194522,3
original r6 (n=3),213.0,10.519654088050315,6.633813481175709,14.40549469492492,3
original r6 (n=3),214.0,10.534276729559748,6.617838316859341,14.450715142260155,3
original r6 (n=3),215.0,10.548899371069183,6.601834930158079,14.495963811980287,3
original r6 (n=3),216.0,10.563522012578616,6.58580397295786,14.541240052199372,3
original r6 (n=3),217.0,10.578144654088051,6.569746077781819,14.586543230394284,3
original r6 (n=3),218.0,10.592767295597485,6.5536618584823305,14.631872732712639,3
original r6 (n=3),219.0,10.607389937106918,6.537551910904586,14.67722796330925,3
original r6 (n=3),220.0,10.622012578616351,6.521416813522979,14.722608343709723,3
original r6 (n=3),221.0,10.636635220125786,6.505257128051568,14.768013312200004,3
original r6 (n=3),222.0,10.651257861635221,6.4890734000297705,14.813442323240672,3
original r6 (n=3),223.0,10.665880503144654,6.4728661593844485,14.85889484690486,3
original r6 (n=3),224.0,10.680503144654088,6.456635920969409,14.904370368338768,3
original r6 (n=3),225.0,10.695125786163523,6.440383185083343,14.949868387243702,3
original r6 (n=3),226.0,10.709748427672956,6.424108437967189,14.995388417378724,3
original r6 (n=3),227.0,10.724371069182391,6.407812152281812,15.04092998608297,3
original r6 (n=3),228.0,10.738993710691824,6.391494787566889,15.08649263381676,3
original r6 (n=3),229.0,10.753616352201258,6.375156790681821,15.132075913720694,3
original r6 (n=3),230.0,10.76823899371069,6.358798596229464,15.177679391191917,3
original r6 (n=3),231.0,10.782861635220124,6.342420626963431,15.223302643476817,3
original r6 (n=3),232.0,10.797484276729561,6.326023294179677,15.268945259279445,3
original r6 (n=3),233.0,10.812106918238994,6.3096069980930585,15.314606838384929,3
original r6 (n=3),234.0,10.826729559748427,6.293172128199528,15.360286991297327,3
original r6 (n=3),235.0,10.841352201257862,6.276719063624534,15.405985338891192,3
original r6 (n=3),236.0,10.855974842767296,6.2602481734582724,15.451701512076319,3
original r6 (n=3),237.0,10.870597484276729,6.243759817078314,15.497435151475145,3
original r6 (n=3),238.0,10.885220125786162,6.22725434446017,15.543185907112154,3
original r6 (n=3),239.0,10.899842767295596,6.21073209647628,15.58895343811491,3
original r6 (n=3),240.0,10.91446540880503,6.194193405183925,15.634737412426137,3
original r6 (n=3),241.0,10.929088050314464,6.177638594102525,15.680537506526402,3
original r6 (n=3),242.0,10.9437106918239,6.161067978480764,15.726353405167037,3
original r6 (n=3),243.0,10.958333333333334,6.1444818655539635,15.772184801112704,3
original r6 (n=3),244.0,10.966666666666667,6.122067359235686,15.811265974097648,3
original r6 (n=3),245.0,10.975,6.099583077279335,15.850416922720665,3
original r6 (n=3),246.0,10.983333333333334,6.077030334515133,15.889636332151536,3
original r6 (n=3),247.0,10.991666666666667,6.054410415757149,15.928922917576184,3
original r6 (n=3),248.0,11.0,6.031724576560909,15.968275423439092,3
original r6 (n=3),249.0,11.111111111111112,5.7235073639276,16.498714858294626,3
original r6 (n=3),250.0,11.222222222222221,5.4062189322042125,17.03822551224023,3
original r6 (n=3),251.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),252.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),253.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),254.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),255.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),256.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),257.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),258.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),259.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),260.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),261.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),262.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),263.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),264.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),265.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),266.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),267.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),268.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),269.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),270.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),271.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),272.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),273.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),274.0,11.333333333333334,5.081723854035031,17.58494281263164,3
original r6 (n=3),275.0,11.333333333333334,5.081723854035031,17.58494281263164,3
